Variable,Category/description,Yes,Total,Percent,Model scale (per 1 SD or vs ref),,Original scale (continuous only),
,,,,,UOR,AOR,UOR,AOR
Insurance,have insurance,107,1359,7.9,0.18 (0.13–0.25),0.72 (0.46–1.13),,
Insurance,no insurance,76,234,32.5,Comparator,Comparator,,
Age group,15–19,31,331,9.4,0.69 (0.45–1.05),1.44 (0.74–2.80),,
Age group,20–24,48,461,10.4,0.77 (0.54–1.11),1.53 (0.92–2.53),,
Age group,25+,104,796,13.1,Comparator,Comparator,,
Ethnicity,Karen,23,218,10.6,Comparator,Comparator,,
Ethnicity,Burmese/Myanmar,155,1294,12,1.15 (0.73–1.83),1.79 (0.99–3.24),,
Ethnicity,Other,5,81,6.2,0.56 (0.20–1.52),0.99 (0.32–3.04),,
Primiparous indicator,Multiparous,131,899,14.6,Comparator,Comparator,,
Primiparous indicator,Primiparous,52,694,7.5,0.47 (0.34–0.67),0.46 (0.27–0.79),,
Literacy,No,41,293,14,Comparator,Comparator,,
Literacy,Yes,142,1300,10.9,0.75 (0.52–1.09),1.26 (0.80–1.99),,
Prior C-section (multiparous only),No,180,1516,11.9,Comparator,Comparator,,
Prior C-section (multiparous only),Yes,3,77,3.9,0.30 (0.09–0.96),0.21 (0.06–0.72),,
Additional births (multiparous only),per 1 SD  |  per-unit (per birth),,,,1.38 (1.18–1.63),1.07 (0.76–1.52),1.29 (1.14–1.46),1.06 (0.81–1.39)
Prior home-birth history (multiparous only),per 1 SD  |  per-unit (per prior homebirth),,,,1.40 (1.19–1.65),1.27 (0.91–1.76),1.30 (1.15–1.47),1.20 (0.93–1.55)
Years lived in area,per 1 SD  |  per-unit (per year),,,,0.92 (0.78–1.08),0.91 (0.75–1.10),0.99 (0.96–1.01),0.98 (0.95–1.02)
Gestational age at enrollment,per 1 SD  |  per-unit (per week),,,,1.76 (1.52–2.05),0.73 (0.59–0.91),1.07 (1.05–1.09),0.96 (0.94–0.99)
Number of ANC visits,per 1 SD  |  per-unit (per visit),,,,0.30 (0.25–0.36),0.27 (0.20–0.36),0.68 (0.64–0.72),0.66 (0.60–0.72)
Calendar time (in days),per 1 SD  |  per-unit (per 30 days),,,,0.65 (0.56–0.76),0.79 (0.66–0.94),0.95 (0.94–0.97),0.97 (0.96–0.99)
